,Price,Address,Beds,Baths,Sqft,Lot,Link,Photo link,Google Maps
0,200000.0,"17619 Glenmark Dr, Houston, TX 77084",4.0,2.0,1844.0,6300.0,https://www.realtor.com/realestateandhomes-detail/17619-Glenmark-Dr_Houston_TX_77084_M77408-93959,https://ap.rdcpix.com/78e15cb00c7959a96107860efd577633l-m2839871910od-w480_h360_x2.jpg,"https://www.google.com/maps/place/17619+Glenmark+Dr,+Houston,+TX+77084"
1,220000.0,"6514 Oakland Hills Dr, Houston, TX 77069",3.0,2.0,2146.0,5000.0,https://www.realtor.com/realestateandhomes-detail/6514-Oakland-Hills-Dr_Houston_TX_77069_M86941-79513,https://ap.rdcpix.com/f121e6868a6feb43668230324c5f1d7dl-m1130567335od-w480_h360_x2.jpg,"https://www.google.com/maps/place/6514+Oakland+Hills+Dr,+Houston,+TX+77069"
2,235000.0,"5503 Windsor Forest Dr, Houston, TX 77088",4.0,2.5,2169.0,7350.0,https://www.realtor.com/realestateandhomes-detail/5503-Windsor-Forest-Dr_Houston_TX_77088_M85031-10454,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5503%20Windsor%20Forest%20Dr%2C%20Houston%2C%20TX%2077088&size=640x480&source=outdoor&signature=cFKkZwQnTX4yxbGpMctY1pt_eaE=,"https://www.google.com/maps/place/5503+Windsor+Forest+Dr,+Houston,+TX+77088"
3,225500.0,"1713 Boswell St, Houston, TX 77009",3.0,1.0,882.0,6250.0,https://www.realtor.com/realestateandhomes-detail/1713-Boswell-St_Houston_TX_77009_M76275-06994,https://ap.rdcpix.com/28f30a6ee4def84566bca5150afca5a8l-m1671996879od-w480_h360_x2.jpg,"https://www.google.com/maps/place/1713+Boswell+St,+Houston,+TX+77009"
4,235000.0,"13730 Somersworth Dr, Houston, TX 77041",3.0,3.0,2417.0,6828.0,https://www.realtor.com/realestateandhomes-detail/13730-Somersworth-Dr_Houston_TX_77041_M86816-35411,https://ap.rdcpix.com/81688139c9c7059d968e207613d13f80l-m4020768684od-w480_h360_x2.jpg,"https://www.google.com/maps/place/13730+Somersworth+Dr,+Houston,+TX+77041"
5,215000.0,"8105 Way Dr, Houston, TX 77028",3.0,2.5,1581.0,7520.0,https://www.realtor.com/realestateandhomes-detail/8105-Way-St_Houston_TX_77028_M99862-84951,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=8105%20Way%20Dr%2C%20Houston%2C%20TX%2077028&size=640x480&source=outdoor&signature=ZhMBjvz2xUxBLVMBF6bZX3LhyeY=,"https://www.google.com/maps/place/8105+Way+Dr,+Houston,+TX+77028"
6,243000.0,"14826 Millers Chestnut St, Houston, TX 77049",4.0,2.5,3164.0,7738.0,https://www.realtor.com/realestateandhomes-detail/14826-Millers-Chestnut-St_Houston_TX_77049_M83650-15129,https://ap.rdcpix.com/bce0372ec59fbe5147804c70d4b4e824l-m3922261139od-w480_h360_x2.jpg,"https://www.google.com/maps/place/14826+Millers+Chestnut+St,+Houston,+TX+77049"
7,254990.0,"8103 Bonhomme Rd, Houston, TX 77074",3.0,2.0,1706.0,9266.0,https://www.realtor.com/realestateandhomes-detail/8103-Bonhomme-Rd_Houston_TX_77074_M70574-18903,https://ap.rdcpix.com/81d83e37aa9e350381c41a06583b9e5dl-m2312800038od-w480_h360_x2.jpg,"https://www.google.com/maps/place/8103+Bonhomme+Rd,+Houston,+TX+77074"
8,202000.0,"14847 Swansea Harbor Ln, Houston, TX 77053",3.0,2.5,2035.0,3570.0,https://www.realtor.com/realestateandhomes-detail/14847-Swansea-Harbor-Ln_Houston_TX_77053_M76529-51470,,"https://www.google.com/maps/place/14847+Swansea+Harbor+Ln,+Houston,+TX+77053"
9,259900.0,"2035 Willow Point Dr, Kingwood, TX 77339",4.0,2.5,2214.0,7800.0,https://www.realtor.com/realestateandhomes-detail/2035-Willow-Point-Dr_Humble_TX_77339_M82165-90567,,"https://www.google.com/maps/place/2035+Willow+Point+Dr,+Kingwood,+TX+77339"
10,279500.0,"650 Westcross St Unit 1, Houston, TX 77018",3.0,2.5,1797.0,1614.0,https://www.realtor.com/realestateandhomes-detail/650-Westcross-St-Unit-1_Houston_TX_77018_M77055-88010,,"https://www.google.com/maps/place/650+Westcross+St+Unit+1,+Houston,+TX+77018"
11,224900.0,"1926 Redway Ln, Houston, TX 77062",3.0,2.0,1658.0,8400.0,https://www.realtor.com/realestateandhomes-detail/1926-Redway-Ln_Houston_TX_77062_M78923-25080,,"https://www.google.com/maps/place/1926+Redway+Ln,+Houston,+TX+77062"
12,249900.0,"4538 Sunflower St, Houston, TX 77051",3.0,2.5,1503.0,3225.0,https://www.realtor.com/realestateandhomes-detail/4538-Sunflower-St_Houston_TX_77051_M82725-83608,,"https://www.google.com/maps/place/4538+Sunflower+St,+Houston,+TX+77051"
13,299999.0,"14218 Sandhill Crane Dr, Houston, TX 77044",4.0,2.5,2749.0,9366.0,https://www.realtor.com/realestateandhomes-detail/14218-Sandhill-Crane-Dr_Houston_TX_77044_M86630-15953,,"https://www.google.com/maps/place/14218+Sandhill+Crane+Dr,+Houston,+TX+77044"
14,215000.0,"7710 Eight Willows Rd, Houston, TX 77489",3.0,2.5,2128.0,7200.0,https://www.realtor.com/realestateandhomes-detail/7710-Eight-Willows-Rd_Missouri-City_TX_77489_M79224-90897,,"https://www.google.com/maps/place/7710+Eight+Willows+Rd,+Houston,+TX+77489"
15,244000.0,"8210 Squires Place Dr, Houston, TX 77083",4.0,2.5,2093.0,6930.0,https://www.realtor.com/realestateandhomes-detail/8210-Squires-Place-Dr_Houston_TX_77083_M82964-27607,,"https://www.google.com/maps/place/8210+Squires+Place+Dr,+Houston,+TX+77083"
16,237000.0,"15015 Middle Oaks Blvd, Houston, TX 77082",3.0,2.5,2445.0,4366.0,https://www.realtor.com/realestateandhomes-detail/15015-Middle-Oaks-Blvd_Houston_TX_77082_M83952-23899,,"https://www.google.com/maps/place/15015+Middle+Oaks+Blvd,+Houston,+TX+77082"
17,242500.0,"10606 Archmont Dr, Houston, TX 77070",4.0,2.5,2671.0,10890.0,https://www.realtor.com/realestateandhomes-detail/10606-Archmont-Dr_Houston_TX_77070_M74083-40912,,"https://www.google.com/maps/place/10606+Archmont+Dr,+Houston,+TX+77070"
18,239900.0,"3706 Dreyfus St, Houston, TX 77021",3.0,2.5,1365.0,3750.0,https://www.realtor.com/realestateandhomes-detail/3706-Dreyfus-St_Houston_TX_77021_M86229-17584,,"https://www.google.com/maps/place/3706+Dreyfus+St,+Houston,+TX+77021"
19,239998.0,"9222 Mauna Loa Ln, Houston, TX 77040",4.0,2.5,2525.0,14810.0,https://www.realtor.com/realestateandhomes-detail/9222-Mauna-Loa-Ln_Houston_TX_77040_M83246-73172,,"https://www.google.com/maps/place/9222+Mauna+Loa+Ln,+Houston,+TX+77040"
20,224995.0,"4807 Danfield Dr, Houston, TX 77053",3.0,2.0,1620.0,6440.0,https://www.realtor.com/realestateandhomes-detail/Houston_TX_77053_M87801-02884,,"https://www.google.com/maps/place/4807+Danfield+Dr,+Houston,+TX+77053"
21,259900.0,"9214 Kransbury Ln, Houston, TX 77095",4.0,2.5,2350.0,5666.0,https://www.realtor.com/realestateandhomes-detail/9214-Kransbury-Ln_Houston_TX_77095_M88525-02906,,"https://www.google.com/maps/place/9214+Kransbury+Ln,+Houston,+TX+77095"
22,279900.0,"3712 Link Valley Dr, Houston, TX 77025",3.0,2.5,1515.0,,https://www.realtor.com/realestateandhomes-detail/3712-Link-Valley-Dr_Houston_TX_77025_M96452-73184,,"https://www.google.com/maps/place/3712+Link+Valley+Dr,+Houston,+TX+77025"
23,249900.0,"7522 McLean St, Houston, TX 77051",3.0,2.5,1503.0,3088.0,https://www.realtor.com/realestateandhomes-detail/7522-McLean-St_Houston_TX_77051_M82811-92041,,"https://www.google.com/maps/place/7522+McLean+St,+Houston,+TX+77051"
24,249000.0,"7526 McLean St, Houston, TX 77051",3.0,2.5,1502.0,3084.0,https://www.realtor.com/realestateandhomes-detail/McLean-St-Lot-6_Houston_TX_77051_M82816-01966,,"https://www.google.com/maps/place/7526+McLean+St,+Houston,+TX+77051"
25,235000.0,"10907 Archmont Dr, Houston, TX 77070",4.0,2.5,2382.0,9200.0,https://www.realtor.com/realestateandhomes-detail/10907-Archmont-Dr_Houston_TX_77070_M74046-14318,,"https://www.google.com/maps/place/10907+Archmont+Dr,+Houston,+TX+77070"
26,210900.0,"14122 Brayford Place Dr, Houston, TX 77014",3.0,2.5,2150.0,5176.0,https://www.realtor.com/realestateandhomes-detail/14122-Brayford-Place-Dr_Houston_TX_77014_M86483-48701,,"https://www.google.com/maps/place/14122+Brayford+Place+Dr,+Houston,+TX+77014"
27,245000.0,"11011 Round Dale Ln, Houston, TX 77075",3.0,2.0,1945.0,6968.0,https://www.realtor.com/realestateandhomes-detail/11011-Round-Dale-Ln_Houston_TX_77075_M85960-75956,,"https://www.google.com/maps/place/11011+Round+Dale+Ln,+Houston,+TX+77075"
28,235000.0,"7831 Ponte Maria Trl, Houston, TX 77044",4.0,2.0,1700.0,7858.0,https://www.realtor.com/realestateandhomes-detail/7831-Ponte-Maria-Trl_Houston_TX_77044_M97208-61079,,"https://www.google.com/maps/place/7831+Ponte+Maria+Trl,+Houston,+TX+77044"
29,225000.0,"4127 Meadow Springs Dr, Houston, TX 77339",4.0,2.5,2394.0,13068.0,https://www.realtor.com/realestateandhomes-detail/4127-Meadow-Springs-Dr_Humble_TX_77339_M78686-04344,,"https://www.google.com/maps/place/4127+Meadow+Springs+Dr,+Houston,+TX+77339"
