house_id,address,price,bed,bath,sqft,lot,latitude,longitude,house_link,image_1,image_2,map_link,google_map,created_date
173,"308 Avenue of Oaks St, Houston, TX 77009",319900,2,1,1150,10454,29.8113709,-95.3672733,https://www.realtor.com/realestateandhomes-detail/308-Avenue-of-Oaks-St_Houston_TX_77009_M70399-00762,https://ap.rdcpix.com/b9f727d5efd77dd8bc2f0c79f96c4847l-m13798024od-w480_h360_x2.jpg,https://ap.rdcpix.com/b9f727d5efd77dd8bc2f0c79f96c4847l-m4010689061od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.8113709&mlon=-95.3672733#map=15/29.8113709/-95.3672733,"https://www.google.com/maps/place/308+Avenue+of+Oaks+St,+Houston,+TX+77009",2021-01-10 21:13:15.025962
174,"7911 Napawood Ct, Houston, TX 77088",199900,4,2.5,1920,6491,29.8806332,-95.4840688,https://www.realtor.com/realestateandhomes-detail/7911-Napawood-Ct_Houston_TX_77088_M82857-44784,https://ap.rdcpix.com/434ef360d1242e7680dbcf646c0690cdl-m1483380855od-w480_h360_x2.jpg,https://ap.rdcpix.com/434ef360d1242e7680dbcf646c0690cdl-m1109488758od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.8806332&mlon=-95.4840688#map=15/29.8806332/-95.4840688,"https://www.google.com/maps/place/7911+Napawood+Ct,+Houston,+TX+77088",2021-01-10 21:13:15.13933
175,"3110 Willow Wood Trl, Houston, TX 77345",295000,4,2.5,2616,10890,30.0842996,-95.171903,https://www.realtor.com/realestateandhomes-detail/3110-Willow-Wood-Trl_Humble_TX_77345_M73173-43778,https://ap.rdcpix.com/2a51bc5fa69a691754ff520181997551l-m2530595705od-w480_h360_x2.jpg,https://ap.rdcpix.com/2a51bc5fa69a691754ff520181997551l-m2095156676od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=30.0842996&mlon=-95.171903#map=15/30.0842996/-95.171903,"https://www.google.com/maps/place/3110+Willow+Wood+Trl,+Houston,+TX+77345",2021-01-10 21:13:15.252517
176,"16118 Windom Dr, Houston, TX 77598",179000,2,2,1104,7150,29.5515117,-95.136427,https://www.realtor.com/realestateandhomes-detail/16118-Windom-Dr_Webster_TX_77598_M89101-35649,https://ap.rdcpix.com/78ae641457dbb4740a405bd94d4a9aeal-m3232188588od-w480_h360_x2.jpg,https://ap.rdcpix.com/78ae641457dbb4740a405bd94d4a9aeal-m2282227243od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.5515117&mlon=-95.136427#map=15/29.5515117/-95.136427,"https://www.google.com/maps/place/16118+Windom+Dr,+Houston,+TX+77598",2021-01-10 21:13:15.365052
177,"3405 Rawley St, Houston, TX 77020",309900,3,3.5,2508,3506,29.7789963,-95.3356358,https://www.realtor.com/realestateandhomes-detail/3405-Rawley-St_Houston_TX_77020_M85840-32911,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3405%20Rawley%20St%2C%20Houston%2C%20TX%2077020&size=640x480&source=outdoor&signature=lBr557-GNQYUalzes6xNoAoKYkY=,"",https://www.openstreetmap.org/?mlat=29.7789963&mlon=-95.3356358#map=15/29.7789963/-95.3356358,"https://www.google.com/maps/place/3405+Rawley+St,+Houston,+TX+77020",2021-01-10 21:13:15.478296
178,"8814 Tierra Park, Houston, TX 77034",195000,3,2.5,1784,3400,29.633873,-95.2146992,https://www.realtor.com/realestateandhomes-detail/8814-Tierra-Park_Houston_TX_77034_M82050-08258,https://ap.rdcpix.com/069b7b348111d10831e9b34efcc21be4l-m3389029022od-w480_h360_x2.jpg,https://ap.rdcpix.com/069b7b348111d10831e9b34efcc21be4l-m1753850171od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.633873&mlon=-95.2146992#map=15/29.633873/-95.2146992,"https://www.google.com/maps/place/8814+Tierra+Park,+Houston,+TX+77034",2021-01-10 21:13:15.592795
179,"7527 Pepperbrook Dr, Houston, TX 77041",159900,3,2,1099,5310,29.8886947,-95.6118952,https://www.realtor.com/realestateandhomes-detail/7527-Pepperbrook-Dr_Houston_TX_77041_M84977-47307,https://ap.rdcpix.com/80f23f46f75725cc791e533ad35631fcl-m3269344296od-w480_h360_x2.jpg,https://ap.rdcpix.com/80f23f46f75725cc791e533ad35631fcl-m608876253od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.8886947&mlon=-95.6118952#map=15/29.8886947/-95.6118952,"https://www.google.com/maps/place/7527+Pepperbrook+Dr,+Houston,+TX+77041",2021-01-10 21:13:15.707247
180,"8526 Southmeadow Dr, Houston, TX 77071",190000,3,2,1640,4500,29.6471584,-95.5270975,https://www.realtor.com/realestateandhomes-detail/8526-Southmeadow-Dr_Houston_TX_77071_M72055-15411,https://ap.rdcpix.com/6bcfd5f4ae40863b5867c618491a1395l-m268081129od-w480_h360_x2.jpg,https://ap.rdcpix.com/6bcfd5f4ae40863b5867c618491a1395l-m739772959od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.6471584&mlon=-95.5270975#map=15/29.6471584/-95.5270975,"https://www.google.com/maps/place/8526+Southmeadow+Dr,+Houston,+TX+77071",2021-01-10 21:13:15.819727
181,"5205 Pinemont Creek Ln, Houston, TX 77018",314900,3,2.5,1616,2165,29.840726,-95.4683685,https://www.realtor.com/realestateandhomes-detail/5205-Pinemont-Creek-Ln_Houston_TX_77018_M95483-66616,https://ap.rdcpix.com/616a11fb64b67e17f08311e1a964e4adl-m2392465512od-w480_h360_x2.jpg,https://ap.rdcpix.com/616a11fb64b67e17f08311e1a964e4adl-m3477927860od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.840726&mlon=-95.4683685#map=15/29.840726/-95.4683685,"https://www.google.com/maps/place/5205+Pinemont+Creek+Ln,+Houston,+TX+77018",2021-01-10 21:13:15.932442
182,"15547 Prairie Oaks Dr, Houston, TX 77083",195000,3,2,1478,10019,29.6840675,-95.659907,https://www.realtor.com/realestateandhomes-detail/15547-Prairie-Oaks-Dr_Houston_TX_77083_M87670-77384,https://ap.rdcpix.com/5d72a2fe71649c7103a7bf362aef4f3bl-m2405681972od-w480_h360_x2.jpg,https://ap.rdcpix.com/5d72a2fe71649c7103a7bf362aef4f3bl-m3468350236od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.6840675&mlon=-95.659907#map=15/29.6840675/-95.659907,"https://www.google.com/maps/place/15547+Prairie+Oaks+Dr,+Houston,+TX+77083",2021-01-10 21:13:16.049078
