Zip Code,Type,County,Population,Area Code(s)
77001,P.O. Box,Harris,0,832 / 713 / 281 / 346
77002,Standard,Harris,"16,793",832 / 713 / 281 / 346
77003,Standard,Harris,"10,508",832 / 713 / 281 / 346
77004,Standard,Harris,"32,692",832 / 713 / 281 / 346
77005,Standard,Harris,"25,528",713 / 832 / 346
77006,Standard,Harris,"19,664",713 / 832 / 346
77007,Standard,Harris,"30,853",713
77008,Standard,Harris,"30,482",713
77009,Standard,Harris,"38,094",713
77010,Standard,Harris,366,832 / 713 / 281 / 346
77011,Standard,Harris,"19,547",713
77012,Standard,Harris,"20,719",713
77013,Standard,Harris,"17,602",713
77014,Standard,Harris,"28,684",281 / 832 / 346
77015,Standard,Harris,"53,621",713 / 281
77016,Standard,Harris,"26,989",281 / 713
77017,Standard,Harris,"32,561",713
77018,Standard,Harris,"25,563",713
77019,Standard,Harris,"18,944",713 / 832 / 346
77020,Standard,Harris,"25,464",713
77021,Standard,Harris,"26,042",713 / 832
77022,Standard,Harris,"29,557",713
77023,Standard,Harris,"28,998",713
77024,Standard,Harris,"34,775",713 / 281 / 832
77025,Standard,Harris,"26,137",713 / 346 / 832
77026,Standard,Harris,"23,940",713
77027,Standard,Harris,"14,331",713 / 832 / 281 / 346
77028,Standard,Harris,"16,808",713
77029,Standard,Harris,"17,814",713
77030,Standard,Harris,"10,258",713 / 832 / 281
77031,Standard,Harris,"15,762",281 / 832
77032,Standard,Harris,"12,757",832 / 281 / 713
77033,Standard,Harris,"27,965",713
77034,Standard,Harris,"33,678",713 / 281
77035,Standard,Harris,"35,896",713
77036,Standard,Harris,"71,969",713 / 346 / 832 / 281
77037,Standard,Harris,"19,819",281
77038,Standard,Harris,"26,713",281 / 832 / 346
77039,Standard,Harris,"27,562",832 / 281 / 713
77040,Standard,Harris,"45,081",281 / 713 / 832
77041,Standard,Harris,"37,146",281 / 713 / 832
77042,Standard,Harris,"36,385",346 / 832 / 713 / 281
77043,Standard,Harris,"23,358",281 / 832 / 346
77044,Standard,Harris,"30,949",281 / 346
77045,Standard,Harris,"31,255",713 / 346
77046,Standard,Harris,"1,196",713 / 832 / 346 / 281
77047,Standard,Harris,"21,077",713 / 346
77048,Standard,Harris,"15,294",713 / 281
77049,Standard,Harris,"28,521",281 / 346
77050,Standard,Harris,"4,611",281
77051,Standard,Harris,"15,085",713
77052,P.O. Box,Harris,0,832 / 713 / 281 / 346
77053,Standard,Fort Bend,"28,954",281 / 713 / 346
77054,Standard,Harris,"22,290",713 / 832 / 281
77055,Standard,Harris,"41,989",713 / 832
77056,Standard,Harris,"18,673",713 / 832 / 281 / 346
77057,Standard,Harris,"39,208",713 / 281 / 832 / 346
77058,Standard,Harris,"16,406",281 / 832 / 346
77059,Standard,Harris,"16,949",281 / 832 / 346
77060,Standard,Harris,"40,830",832 / 281 / 713 / 346
77061,Standard,Harris,"24,457",713
77062,Standard,Harris,"25,152",281 / 832 / 346
77063,Standard,Harris,"34,299",713 / 281 / 832 / 346
77064,Standard,Harris,"45,847",346 / 832
77065,Standard,Harris,"35,326",281 / 346 / 832
77066,Standard,Harris,"31,366",281 / 832 / 346
77067,Standard,Harris,"30,559",281 / 832 / 346
77068,Standard,Harris,"10,064",281
77069,Standard,Harris,"16,541",281 / 832 / 346
77070,Standard,Harris,"46,017",346 / 832 / 281
77071,Standard,Harris,"25,671",713
77072,Standard,Harris,"56,526",281 / 346 / 832
77073,Standard,Harris,"34,790",281 / 832
77074,Standard,Harris,"37,267",713
77075,Standard,Harris,"37,388",713 / 281 / 832
77076,Standard,Harris,"33,803",713
77077,Standard,Harris,"52,151",281 / 832
77078,Standard,Harris,"14,777",281
77079,Standard,Harris,"31,280",281 / 832 / 346
77080,Standard,Harris,"45,275",713 / 832 / 281
77081,Standard,Harris,"47,860",713 / 346
77082,Standard,Harris,"49,900",281 / 832
77083,Standard,Harris,"70,837",281 / 832
77084,Standard,Harris,"95,137",281 / 832 / 346
77085,Standard,Harris,"16,074",713 / 281
77086,Standard,Harris,"28,009",281 / 832
77087,Standard,Harris,"36,399",713
77088,Standard,Harris,"49,660",281
77089,Standard,Harris,"48,685",281 / 832
77090,Standard,Harris,"32,930",832
77091,Standard,Harris,"23,472",713
77092,Standard,Harris,"33,745",713 / 832 / 281
77093,Standard,Harris,"46,929",713 / 281
77094,Standard,Harris,"8,498",281 / 832 / 346
77095,Standard,Harris,"66,502",281 / 832 / 346
77096,Standard,Harris,"32,628",713
77098,Standard,Harris,"13,076",713 / 832 / 346
77099,Standard,Harris,"47,091",281 / 832
77201,Standard,Harris,0,832 / 713 / 281 / 346
77202,P.O. Box,Harris,0,832 / 713 / 281 / 346
77203,P.O. Box,Harris,0,832 / 713 / 281 / 346
77204,Unique,Harris,0,832 / 713 / 281 / 346
77205,P.O. Box,Harris,0,832 / 281 / 713
77206,P.O. Box,Harris,0,832 / 713 / 281 / 346
77207,P.O. Box,Harris,0,832 / 713 / 281 / 346
77208,P.O. Box,Harris,0,832 / 713 / 281 / 346
77209,Unique,Harris,0,713 / 281
77210,P.O. Box,Harris,0,832 / 713 / 281 / 346
77212,Unique,Harris,0,832 / 713 / 281 / 346
77213,P.O. Box,Harris,0,832 / 713 / 281 / 346
77215,P.O. Box,Harris,0,832 / 713 / 281 / 346
77216,Unique,Harris,0,832 / 713 / 281 / 346
77217,P.O. Box,Harris,0,832 / 713 / 281 / 346
77218,P.O. Box,Harris,0,281 / 832 / 346
77219,P.O. Box,Harris,0,832 / 713 / 281 / 346
77220,P.O. Box,Harris,0,832 / 713 / 281 / 346
77221,P.O. Box,Harris,0,832 / 713 / 281 / 346
77222,P.O. Box,Harris,0,832 / 713 / 281 / 346
77223,P.O. Box,Harris,0,832 / 713 / 281 / 346
77224,P.O. Box,Harris,0,832 / 713 / 281 / 346
77225,P.O. Box,Harris,0,832 / 713 / 281 / 346
77226,P.O. Box,Harris,0,832 / 713 / 281 / 346
77227,P.O. Box,Harris,0,832 / 713 / 281 / 346
77228,P.O. Box,Harris,0,832 / 713 / 281 / 346
77229,P.O. Box,Harris,0,832 / 713 / 281 / 346
77230,P.O. Box,Harris,0,832 / 713 / 281 / 346
77231,P.O. Box,Harris,0,832 / 713 / 281 / 346
77233,P.O. Box,Harris,0,832 / 713 / 281 / 346
77234,P.O. Box,Harris,0,832 / 713 / 281 / 346
77235,P.O. Box,Harris,0,832 / 713 / 281 / 346
77236,P.O. Box,Harris,0,832 / 713 / 281 / 346
77237,P.O. Box,Harris,0,832 / 713 / 281 / 346
77238,P.O. Box,Harris,0,832 / 713 / 281 / 346
77240,P.O. Box,Harris,0,832 / 713 / 281 / 346
77241,P.O. Box,Harris,0,832 / 713 / 281 / 346
77242,P.O. Box,Harris,0,832 / 713 / 281 / 346
77243,P.O. Box,Harris,0,832 / 713 / 281 / 346
77244,P.O. Box,Harris,0,832 / 713 / 281 / 346
77245,P.O. Box,Harris,0,832 / 713 / 281 / 346
77248,P.O. Box,Harris,0,832 / 713 / 281 / 346
77249,P.O. Box,Harris,0,832 / 713 / 281 / 346
77251,P.O. Box,Harris,0,832 / 713 / 281 / 346
77252,P.O. Box,Harris,0,832 / 713 / 281 / 346
77253,P.O. Box,Harris,0,832 / 713 / 281 / 346
77254,P.O. Box,Harris,0,832 / 713 / 281 / 346
77255,P.O. Box,Harris,0,832 / 713 / 281 / 346
77256,P.O. Box,Harris,0,832 / 713 / 281 / 346
77257,P.O. Box,Harris,0,832 / 713 / 281 / 346
77258,P.O. Box,Harris,0,832 / 713 / 281 / 346
77259,P.O. Box,Harris,0,832 / 713 / 281 / 346
77261,P.O. Box,Harris,0,832 / 713 / 281 / 346
77262,P.O. Box,Harris,0,832 / 713 / 281 / 346
77263,P.O. Box,Harris,0,832 / 713 / 281 / 346
77265,P.O. Box,Harris,0,832 / 713 / 281 / 346
77266,P.O. Box,Harris,0,832 / 713 / 281 / 346
77267,P.O. Box,Harris,0,832 / 713 / 281 / 346
77268,P.O. Box,Harris,0,832 / 713 / 281 / 346
77269,P.O. Box,Harris,0,832 / 713 / 281 / 346
77270,P.O. Box,Harris,0,832 / 713 / 281 / 346
77271,P.O. Box,Harris,0,832 / 713 / 281 / 346
77272,P.O. Box,Harris,0,832 / 713 / 281 / 346
77273,P.O. Box,Harris,0,832 / 713 / 281 / 346
77274,P.O. Box,Harris,0,832 / 713 / 281 / 346
77275,P.O. Box,Harris,0,832 / 713 / 281 / 346
77277,P.O. Box,Harris,0,832 / 713 / 281 / 346
77279,P.O. Box,Harris,0,832 / 713 / 281 / 346
77280,P.O. Box,Harris,0,832 / 713 / 281 / 346
77282,P.O. Box,Harris,0,832 / 713 / 281 / 346
77284,P.O. Box,Harris,0,832 / 713 / 281 / 346
77287,P.O. Box,Harris,0,832 / 713 / 281 / 346
77288,P.O. Box,Harris,0,832 / 713 / 281 / 346
77289,P.O. Box,Harris,0,832 / 713 / 281 / 346
77290,P.O. Box,Harris,0,832 / 713 / 281 / 346
77291,P.O. Box,Harris,0,832 / 713 / 281 / 346
77292,P.O. Box,Harris,0,832 / 713 / 281 / 346
77293,P.O. Box,Harris,0,832 / 713 / 281 / 346
77297,Unique,Harris,0,832 / 713 / 281 / 346
77299,Unique,Harris,0,832 / 713 / 281 / 346
